# Rpp, Rff, Rpf_unl, Rfp_unl, Rff_bh_p, Rap, Rao, Rpa, Roa
6.111390761539200000e+13 2.055658612797260284e+06 -3.507433559023437500e+09 -2.595912486171875000e+09 1.997992772242328385e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.807321667870400000e+13 2.070255294558286667e+06 -3.778792611367187500e+09 -2.817259084179687500e+09 2.012871605171670904e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.560832961887800000e+13 2.085136912551403046e+06 -4.064946773304687500e+09 -3.052114626601562500e+09 2.028037238500041189e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.374981162724400000e+13 2.100298660395860672e+06 -4.366359102218750000e+09 -3.300946980578125000e+09 2.043484702770320699e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.252897362855400000e+13 2.115735961694478989e+06 -4.683535682523437500e+09 -3.564267132945312500e+09 2.059209268066825811e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.019778673181440000e+14 2.131443695533990860e+06 -5.016934140546875000e+09 -3.842537678171875000e+09 2.075205638236256549e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.121292823234100000e+14 2.147418267573356628e+06 -5.367077173218750000e+09 -4.136286375507812500e+09 2.091470106915771961e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.230167394370400000e+14 2.163654690906524658e+06 -5.734421349554687500e+09 -4.445974919695312500e+09 2.107997519597916864e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.346744888967880000e+14 2.180149911059617996e+06 -6.119501057796875000e+09 -4.772142915125000000e+09 2.124784734209057409e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.471375028571380000e+14 2.196899600033521652e+06 -6.522779675312500000e+09 -5.115259007695312500e+09 2.141827285101234913e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
