# Rpp, Rff, Rpf_unl, Rfp_unl, Rff_bh_p, Rap, Rao, Rpa, Roa
2.051690142064416000e+15 3.126037696071863174e+06 -4.901273712493750000e+10 -4.391847545070312500e+10 3.083856133269289974e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.144320088926272000e+15 3.152004998708963394e+06 -5.079203237690625000e+10 -4.558852229982812500e+10 3.110130319442782085e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.239998790918112000e+15 3.178159011955738068e+06 -5.261800063828125000e+10 -4.730426945129687500e+10 3.136591955082863104e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.338789276770656000e+15 3.204499268696308136e+06 -5.449145839243750000e+10 -4.906653967364062500e+10 3.163240601536979899e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.440755088263104000e+15 3.231025712761878967e+06 -5.641323337918750000e+10 -5.087616699284375000e+10 3.190076244207580574e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.545960264137792000e+15 3.257737917258739471e+06 -5.838416055575000000e+10 -5.273399258548437500e+10 3.217098482944922056e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.654469349277376000e+15 3.284635854659318924e+06 -6.040508604168750000e+10 -5.464086880631250000e+10 3.244307329533116892e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.766347378201568000e+15 3.311719132341146469e+06 -6.247686304168750000e+10 -5.659765500870312500e+10 3.271702416061718948e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.881659886818496000e+15 3.338987745374321938e+06 -6.460035577100000000e+10 -5.860522156940625000e+10 3.299283774195882492e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000472892709888000e+15 3.366441328428030014e+06 -6.677643527862500000e+10 -6.066444561950000000e+10 3.327051060891665053e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.122852909967552000e+15 3.394079891869068146e+06 -6.900598334250000000e+10 -6.277621501414062500e+10 3.355004319990440737e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.248866927128448000e+15 3.421903089048504829e+06 -7.128988813662500000e+10 -6.494142394729687500e+10 3.383143224212871864e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.378582424776704000e+15 3.449910937648773193e+06 -7.362904830181250000e+10 -6.716097704631250000e+10 3.411467821211672388e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.512067351326336000e+15 3.478103100711941719e+06 -7.602436819356250000e+10 -6.943578459837500000e+10 3.439977789960216731e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.649390141764416000e+15 3.506479594975948334e+06 -7.847676240043750000e+10 -7.176676708850000000e+10 3.468673173285429832e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.790619694193792000e+15 3.535040085562109947e+06 -8.098715049281250000e+10 -7.415484992671875000e+10 3.497553648399125785e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.935825387941376000e+15 3.563784581126928329e+06 -8.355646189506250000e+10 -7.660096834182812500e+10 3.526619245781251229e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.085077059496832000e+15 3.592712743034958839e+06 -8.618563053731250000e+10 -7.910606199889062500e+10 3.555869634862340521e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.238445023181504000e+15 3.621824565959572792e+06 -8.887559947875000000e+10 -8.167107967190625000e+10 3.585304827560685575e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.396000045787072000e+15 3.651119702046394348e+06 -9.162731590400000000e+10 -8.429697416381250000e+10 3.614924479772115592e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.557813366979712000e+15 3.680598126522779465e+06 -9.444173544756250000e+10 -8.698470671701562500e+10 3.644728579199440777e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.723956674189120000e+15 3.710259476105928421e+06 -9.731981713162500000e+10 -8.973524187273437500e+10 3.674716761774563696e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.894502124497856000e+15 3.740103700696110725e+06 -1.002625276487500000e+11 -9.254955182096875000e+10 3.704888984848322347e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.069522318265088000e+15 3.770130415735244751e+06 -1.032708365549375000e+11 -9.542861151134375000e+10 3.735244858314420562e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.249090321533248000e+15 3.800339540355563164e+06 -1.063457200680000000e+11 -9.837340254928125000e+10 3.765784303575851023e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.433279640907072000e+15 3.830730663067460060e+06 -1.094881565643125000e+11 -1.013849085857031250e+11 3.796506898593044374e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.622164244193152000e+15 3.861303667787909508e+06 -1.126991303361250000e+11 -1.044641191810468750e+11 3.827412524277791847e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.815818536370304000e+15 3.892058110806465149e+06 -1.159796267856250000e+11 -1.076120248902500000e+11 3.858500721259674057e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.014317381817792000e+15 3.922993836472630501e+06 -1.193306365555625000e+11 -1.108296214940312500e+11 3.889771325458553620e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.217736076590912000e+15 3.954110364147901535e+06 -1.227531502829375000e+11 -1.141179046668437500e+11 3.921223835393682588e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.426150376084608000e+15 3.985407494125485420e+06 -1.262481630464375000e+11 -1.174778744954062500e+11 3.952858037423570175e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.639636462946688000e+15 4.016884704626560211e+06 -1.298166687943750000e+11 -1.209105298141875000e+11 3.984673383657102473e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.858270977292928000e+15 4.048541748063802719e+06 -1.334596651061875000e+11 -1.244168731164687500e+11 4.016669607065720949e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.082130983910784000e+15 4.080378057747721672e+06 -1.371781472221875000e+11 -1.279979043852812500e+11 4.048846109547779895e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.311294003117824000e+15 4.112393334835648537e+06 -1.409731132042500000e+11 -1.316546264442500000e+11 4.081202567319825757e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.545837976566272000e+15 4.144586964016199112e+06 -1.448455574639375000e+11 -1.353880383266562500e+11 4.113738328391488642e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.785841300573952000e+15 4.176958592337131500e+06 -1.487964763947500000e+11 -1.391991410340000000e+11 4.146453009439399466e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
